cell_id,orientations,mean_responses,sem_responses,fit_params,r_squared,osi
28,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 1.5125784   0.6975454   0.5921718   0.9405828   0.4170015   0.3355317
 12.614222    9.579885    1.7108      0.84722877  0.6533927   2.0751846
  2.4820313   0.53692156  2.0777407  12.452474   10.987555    2.4137816 ]","[0.49447686 0.35017465 0.22322901 0.33281737 0.1461971  0.19575997
 0.30018359 0.77215328 0.34137006 0.47868747 0.33745578 1.17407186
 0.96352037 0.22241667 0.76141788 0.55411507 0.98379376 0.55643197]","{'amplitude': 31.756124623741034, 'preferred_orientation': 128.7882545000578, 'sigma': 10.728510238066528, 'offset': 1.138752972081182}",0.9745078840065409,0.8745560639003626
30,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[3.2570903  1.0234358  1.3455062  1.4263206  0.9032849  0.21761046
 5.616693   6.5865445  6.8840246  3.2235231  2.2410715  3.1116223
 1.6188734  0.96179295 0.8042815  5.718177   8.2735405  7.9346175 ]","[0.54572022 0.17670664 0.41926387 0.67856456 0.29169294 0.09143925
 1.03674571 0.73553685 0.55822291 0.58190405 0.82854424 0.65160246
 0.41226825 0.73410968 0.60581151 0.97820214 0.40289209 0.39115967]","{'amplitude': 13.629753336021283, 'preferred_orientation': 326.799747987421, 'sigma': 21.4456899433449, 'offset': 1.4946995653381927}",0.8609489807008334,0.6949157723902495
38,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 1.7631924   1.1485144   0.86572707  2.6508048   9.8355465   7.7725205
  1.3667322   1.8460474   0.2450706   1.9645193   1.673025    1.3184527
  2.057082   10.727339    9.708084    1.3372449   0.8860502   0.9778271 ]","[0.57445248 0.42535611 0.30824915 0.61275208 0.92320851 1.42132289
 0.5517669  0.67996956 0.19838684 0.67301875 0.98365173 0.51549562
 1.14271393 0.61028068 0.90401517 0.83256404 0.42872377 0.3915932 ]","{'amplitude': 22.691339126009556, 'preferred_orientation': 268.37488733222176, 'sigma': 12.633259874011424, 'offset': 1.2355214915645512}",0.9739297561293244,0.8211555046053592
39,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[0.6706252  0.26270705 0.27899128 1.2960994  0.39923167 0.27090526
 4.33592    4.057857   1.4429553  0.43944567 0.29414845 0.3574996
 0.56770337 0.2577082  0.52236927 3.0618436  5.2540464  1.5140617 ]","[0.20435279 0.06754886 0.0501158  0.70984531 0.06892069 0.07073989
 1.17313848 0.86400525 0.35944565 0.16864626 0.04684637 0.08941761
 0.15363004 0.07017445 0.12076907 0.42299058 0.93106384 0.33306423]","{'amplitude': 9.569812753522301, 'preferred_orientation': 313.3603166773504, 'sigma': 14.518765060203656, 'offset': 0.43880384988084464}",0.9356010516166461,0.8450144709797617
41,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[0.7943843  1.1257114  1.5401719  1.0944896  1.6172042  7.700835
 1.8378855  0.10829426 0.14028865 1.1065053  1.8198156  0.5607864
 0.77508825 1.0295129  9.278885   2.4976     0.48156774 0.22715417]","[0.43918281 0.44982198 0.6181438  0.54124363 0.82295852 1.63696067
 0.48692933 0.08281456 0.03525772 0.36693198 0.59740439 0.18626134
 0.22463214 0.36645547 0.73081371 0.6099027  0.1644648  0.09043719]","{'amplitude': 15.771224484405092, 'preferred_orientation': 282.2013427167159, 'sigma': 9.472883134523494, 'offset': 0.8148628692779812}",0.9539422051307845,0.8287264475679665
43,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[5.4594975  6.349992   4.9693193  0.75146186 0.6206703  1.0147833
 0.88261664 0.35123247 1.4051139  5.7687306  6.836852   5.1333923
 1.206012   0.3458032  0.47627136 0.5750429  0.33957392 1.7591338 ]","[0.60495917 0.29837427 0.59078017 0.31818618 0.28402314 0.32809303
 0.26575095 0.14533735 0.36318466 0.29063099 0.09587042 0.45319992
 0.54747096 0.19709765 0.3671425  0.20103735 0.14038267 0.26940906]","{'amplitude': 13.065751805716895, 'preferred_orientation': 198.00864955889762, 'sigma': 21.507290366479356, 'offset': 0.587674091142653}",0.9530586184802906,0.8472735236335147
46,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[0.37837696 0.15355608 0.2048866  0.38325566 0.4963931  1.112395
 9.238941   1.0528663  0.26985985 0.44497156 0.37531972 0.18467146
 0.2113351  0.30724987 1.8322827  9.81356    2.2571206  0.34064382]","[0.17522882 0.0430906  0.04759524 0.13518162 0.1025366  0.33396474
 0.64154534 0.24732776 0.03989796 0.1594791  0.18391454 0.0564206
 0.06782252 0.05772254 0.5918153  0.99232234 0.59376105 0.06929063]","{'amplitude': 18.651095081769014, 'preferred_orientation': 300.2130103810414, 'sigma': 0.6976939287599735, 'offset': 0.6253240285441279}",0.9590802430879732,0.881748777667465
48,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[2.2927933  1.3392897  0.7302945  0.53771096 0.46961838 0.48975492
 0.47010088 0.98936373 1.7694962  2.1229126  1.021317   0.526791
 0.52455175 0.50788397 0.7407328  0.32628202 1.3811073  2.3060508 ]","[0.20032096 0.1291078  0.16299299 0.05891615 0.07725228 0.08193222
 0.08757821 0.14616207 0.27784157 0.23652733 0.17160581 0.09890026
 0.04197874 0.10233341 0.09128385 0.06805836 0.15353073 0.16583714]","{'amplitude': 3.150835207426672, 'preferred_orientation': 349.7835731785583, 'sigma': 16.752944727892547, 'offset': 0.7536697510934689}",0.5348706507297936,0.511041338062831
50,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 7.407422    6.530604    5.3920093   1.0936685   1.0885038   2.2680717
  1.2173514   1.161619    4.3430758   8.740879   10.622557    5.307931
  2.0983193   0.24038884  0.66693985  1.3315313   1.7364371   6.357218  ]","[1.11427214 1.47175564 1.37478889 0.32044194 0.67541652 0.95249113
 0.32923215 0.64965414 1.35560829 1.51902907 1.51052333 0.50819857
 0.81566948 0.11790826 0.21632121 0.54265345 0.67112581 1.32234709]","{'amplitude': 15.151408298711608, 'preferred_orientation': 192.43712591484777, 'sigma': 20.975268504456725, 'offset': 1.6898842168449204}",0.7742342370997998,0.6913819857015511
51,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[0.5828758  0.59433305 0.5123515  0.2718587  0.69697917 6.286759
 0.3756342  0.3577299  0.38921073 0.47658277 1.1290166  0.35984638
 0.41697413 0.37386227 7.289444   0.16780712 0.39674553 0.33775425]","[0.1114397  0.15014293 0.10801137 0.04803816 0.10310741 0.32402015
 0.07196709 0.0919216  0.13601773 0.06749834 0.47398729 0.09185214
 0.15523776 0.06622135 0.8972238  0.0362076  0.04884621 0.06588473]","{'amplitude': 29.65323871584157, 'preferred_orientation': 274.24665393136746, 'sigma': -4.410999937157639, 'offset': 0.45490891321351046}",0.9832308103318533,0.9421840016409835
52,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 0.30796167  0.61500704  0.7356397   6.604121   12.814777    0.9420836
  0.98510003  0.42943352  0.41313967  0.66579914  0.6564668   0.97322035
  5.180174   10.459641    3.0551302   0.16748291  0.26568776  0.6421053 ]","[0.04382657 0.18373423 0.09009411 1.37571739 1.38580271 0.23322462
 0.55020077 0.19508118 0.05342919 0.25187576 0.3702443  0.21299675
 1.20713792 1.50009957 1.08166161 0.0361201  0.08381717 0.23126779]","{'amplitude': 23.933612176236803, 'preferred_orientation': 75.29583623977163, 'sigma': 12.081314210136602, 'offset': 0.5371360669694093}",0.9725854884614507,0.9176239789619024
55,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[2.3606393  6.7378926  8.207974   1.4284933  0.8110579  0.7420019
 0.7369735  0.1719558  0.49240738 0.8949312  2.802722   3.7225218
 0.36239004 0.18783747 0.06934049 0.6741493  0.68526375 0.8098488 ]","[0.2849976  0.49838277 0.50196968 0.47763708 0.39816722 0.52969864
 0.26326038 0.04955324 0.15485636 0.1674162  0.51381341 0.56100153
 0.10614147 0.08902418 0.03959549 0.34659486 0.17491984 0.2054516 ]","{'amplitude': 12.710298759060374, 'preferred_orientation': 31.644006820052866, 'sigma': 13.412689545809855, 'offset': 0.5856117825747432}",0.7621507240602771,0.8443840641866549
64,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[5.2187552  5.9151573  3.957858   0.72378945 0.29720062 0.82160544
 0.8328368  0.957457   2.1640196  7.125429   9.354212   5.750009
 0.4926687  0.3064165  0.20392224 0.7000836  1.0889914  2.3905644 ]","[0.99365671 1.21294449 0.72618244 0.14152508 0.15132572 0.38053121
 0.37029226 0.29250195 0.77071126 0.91260158 0.4461104  0.97856603
 0.18104862 0.1398894  0.11383501 0.27212005 0.2842594  0.77297227]","{'amplitude': 14.637614498191507, 'preferred_orientation': 196.09702936018195, 'sigma': 20.233315129377697, 'offset': 0.7130761157709582}",0.8889697985157821,0.8368395411671739
65,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[4.008673   1.0008907  0.5997771  1.4348915  4.0682855  0.17530109
 0.35607857 1.4603633  3.3771377  1.1473687  0.95176154 0.3432564
 2.3256693  1.0237061  0.19004704 1.202552   4.4034195  7.2403073 ]","[1.82590887 0.30169886 0.37866187 0.57347329 1.06345603 0.06383629
 0.06501625 0.38265933 0.91146581 0.21647205 0.2009924  0.25952832
 1.43989347 0.2927855  0.09286959 0.44649832 1.43444287 0.98671344]","{'amplitude': 32.16679225499414, 'preferred_orientation': 331.25072614595274, 'sigma': 5.227577853777043, 'offset': 1.344875563012839}",0.4733520816959378,0.856723484362967
67,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 0.24035752  0.88130707  0.9138963   1.6554667  10.939094    3.8508427
  0.7965417   0.8446325   0.41897786  0.75995064  0.6157714   0.65267265
  1.158143   11.011449    4.046034    0.41836548  0.56970143  0.59836763]","[0.05925393 0.23811235 0.27107871 0.33446057 0.46207242 0.91774813
 0.21930971 0.36193821 0.06128613 0.25214049 0.09677336 0.08590238
 0.19958225 0.60405483 1.05781602 0.04529693 0.14658076 0.24392381]","{'amplitude': 22.204291015119708, 'preferred_orientation': 263.90789826280457, 'sigma': 10.341988906826089, 'offset': 0.6384502227185405}",0.9967124552858856,0.8968498501188658
68,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[0.4309639  1.1125073  1.0396518  4.586193   8.989678   0.8617003
 1.1724577  0.49474844 0.7613126  0.80075777 0.7362548  1.659045
 5.552152   9.672556   1.4553407  0.4236067  0.4510944  0.94048667]","[0.15189273 0.2748038  0.43428269 0.52057069 0.69475944 0.24623856
 0.57857529 0.21347853 0.20452626 0.33016079 0.17828199 0.57364074
 0.55980624 0.37061052 0.31104975 0.20892804 0.15833019 0.35208403]","{'amplitude': 20.49100018806989, 'preferred_orientation': 253.6895231234662, 'sigma': 10.349134055553801, 'offset': 0.8149974172008772}",0.9839980600698259,0.8627429977256257
69,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[0.27175242 0.55517614 0.4171139  2.6709929  8.016257   1.4649491
 0.4688091  0.5010013  0.3305247  0.7525642  0.462756   0.4492505
 1.9673221  7.889325   1.6306239  0.25255793 0.29504555 0.5472286 ]","[0.03752351 0.10004066 0.07892375 0.47333406 0.29119005 0.24608422
 0.14123922 0.27873169 0.0451098  0.302779   0.18514554 0.12146584
 0.45578491 0.49768621 0.39576932 0.05183106 0.06398742 0.16655803]","{'amplitude': 15.189492433953685, 'preferred_orientation': 78.39724095255863, 'sigma': 11.009047925614766, 'offset': 0.43846352910779646}",0.9949466117404124,0.896487148438127
71,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[ 1.067668    2.4766417  11.930402   11.111467    2.6181834   1.9671397
  1.9303647   1.6188006   0.961324    0.8440531   0.97320515 11.421297
 11.194961    2.2954514   0.80072576  0.80163026  0.11571807  0.6147126 ]","[0.58153745 0.8115041  0.2004395  0.29816744 0.95446959 0.8166853
 0.86258052 1.10718119 0.26456255 0.44827965 0.18814142 0.26244267
 0.25495678 0.86709824 0.35044704 0.35297954 0.0694463  0.15534716]","{'amplitude': 27.69581531578155, 'preferred_orientation': 49.76456421499742, 'sigma': 13.089536970754168, 'offset': 1.0737344330524208}",0.983872548412007,0.865744400221802
75,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[0.8102729  0.19005468 0.34914225 0.5003825  6.9294724  4.4631724
 0.28866464 0.27437443 0.5527302  1.4029455  0.49662054 0.22350514
 0.2015248  5.524972   3.2207005  0.22876258 0.16220273 0.3003978 ]","[0.45736268 0.03985222 0.1498628  0.21037785 2.06617625 0.98756009
 0.05463391 0.06106346 0.28527459 0.76464439 0.33407748 0.05342751
 0.03936611 1.05906289 1.30812312 0.07819446 0.04555579 0.10649947]","{'amplitude': 59.8545576215201, 'preferred_orientation': 89.30167177583964, 'sigma': 5.134544838874564, 'offset': 0.42725540719673405}",0.9572181715774518,0.9722397292425389
77,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[3.306737   0.9861765  0.6233592  0.80902916 1.0982621  0.5336926
 6.196295   7.7194767  7.0658264  3.364276   0.95138377 0.91167593
 0.9544151  0.8339883  0.5409006  4.7709303  7.992777   6.6827345 ]","[0.48044891 0.25405027 0.18048134 0.23294877 0.26990363 0.08178915
 0.39043951 0.19000181 0.37487409 0.25120961 0.15677284 0.34071997
 0.17701898 0.27622417 0.13297967 0.53190992 0.16934702 0.29993571]","{'amplitude': 14.84150796683079, 'preferred_orientation': 325.21984224572327, 'sigma': 21.509012532270507, 'offset': 0.9804557415794982}",0.9164394910446103,0.7907611899025082
83,[  0  20  40  60  80 100 120 140 160 180 200 220 240 260 280 300 320 340],"[0.9545943  2.7915397  6.7101226  4.2966385  1.3960607  1.2580694
 1.099022   1.0333833  0.7015767  0.75158787 2.4066482  6.092146
 2.8233428  0.88476133 0.6459966  0.88060415 0.26264542 0.85996675]","[0.44029064 0.2071132  0.40526467 0.5300021  0.40647133 0.45632713
 0.23737699 0.6347124  0.19052639 0.32067836 0.54404985 0.36916618
 0.51182749 0.34198473 0.21244009 0.27587064 0.13851205 0.2848551 ]","{'amplitude': 11.252058758268573, 'preferred_orientation': 42.38498130465331, 'sigma': 14.67081127074985, 'offset': 0.8421845446516092}",0.9641254945915612,0.7695926931261221
